,year,month,day,departure time,scheduled departure time,departure delay,arrival time,scheduled arrival time,arrival delay,carrier,flight,tailnum,origin,dest,air time,distance
18137,2013,1,21,2011.0,evening,6.0,2307.0,2311,-4.0,UA,754,N807UA,EWR,TPA,155.0,997
135058,2013,2,27,1858.0,evening,-2.0,2221.0,2238,-17.0,DL,87,N721TW,JFK,LAX,328.0,2475
268872,2013,7,20,1514.0,afternoon,6.0,1621.0,1622,-1.0,UA,1425,N14230,EWR,BOS,48.0,200
86791,2013,12,4,1703.0,afternoon,-7.0,2029.0,2021,8.0,DL,1519,N3772H,EWR,SLC,303.0,1969
21408,2013,1,25,1430.0,afternoon,15.0,1721.0,1724,-3.0,B6,377,N630JB,LGA,FLL,154.0,1076
228266,2013,6,7,1455.0,afternoon,0.0,1714.0,1752,-38.0,UA,439,N832UA,EWR,SAN,305.0,2425
257428,2013,7,8,1945.0,evening,65.0,2329.0,2149,100.0,UA,1684,N28457,EWR,MIA,149.0,1085
1648,2013,1,2,1924.0,evening,-5.0,2255.0,2242,13.0,DL,1435,N997DL,LGA,TPA,155.0,1010
125636,2013,2,17,1452.0,afternoon,-1.0,1739.0,1813,-34.0,UA,1134,N76514,EWR,AUS,209.0,1504
103497,2013,12,23,540.0,morning,25.0,829.0,814,15.0,UA,1102,N38454,EWR,IAH,214.0,1400
63665,2013,11,9,1150.0,morning,5.0,1432.0,1433,-1.0,UA,1224,N12125,EWR,MCO,135.0,937
150567,2013,3,16,1043.0,morning,-2.0,1322.0,1331,-9.0,B6,545,N807JB,EWR,PBI,139.0,1023
283487,2013,8,4,1956.0,evening,26.0,2203.0,2215,-12.0,DL,2041,N349NW,JFK,ATL,100.0,760
196832,2013,5,4,1603.0,afternoon,-7.0,1837.0,1911,-34.0,B6,369,N526JB,LGA,PBI,138.0,1035
160767,2013,3,27,958.0,morning,-2.0,1225.0,1234,-9.0,DL,1847,N378DA,LGA,ATL,107.0,762
106768,2013,12,26,1954.0,evening,39.0,2254.0,2302,-8.0,DL,2481,N3736C,JFK,PHX,281.0,2153
99847,2013,12,19,601.0,morning,1.0,1001.0,937,24.0,UA,303,N590UA,JFK,SFO,390.0,2586
135088,2013,2,27,1934.0,evening,49.0,2121.0,2058,23.0,DL,2131,N971DL,LGA,DTW,80.0,502
300830,2013,8,22,2026.0,evening,5.0,2154.0,2200,-6.0,UA,1464,N27724,EWR,CLE,61.0,404
283566,2013,8,4,2140.0,evening,55.0,37.0,2344,53.0,UA,490,N530UA,EWR,PDX,339.0,2434
98040,2013,12,17,735.0,morning,45.0,948.0,916,32.0,UA,1643,N26208,EWR,DEN,224.0,1605
327223,2013,9,20,1452.0,afternoon,-3.0,1658.0,1718,-20.0,B6,575,N324JB,JFK,MSY,151.0,1182
184932,2013,4,22,553.0,morning,-7.0,907.0,852,15.0,B6,371,N729JB,LGA,FLL,176.0,1076
321539,2013,9,14,1340.0,afternoon,-8.0,1623.0,1657,-34.0,DL,1779,N369NB,LGA,FLL,145.0,1076
24611,2013,1,29,1117.0,morning,-4.0,1340.0,1347,-7.0,UA,63,N87531,EWR,DEN,244.0,1605
108465,2013,12,28,1738.0,afternoon,18.0,2012.0,1956,16.0,UA,1064,N33289,EWR,DEN,242.0,1605
260781,2013,7,12,725.0,morning,1.0,1013.0,1003,10.0,UA,1592,N38417,EWR,MCO,141.0,937
246178,2013,6,26,1318.0,afternoon,78.0,1627.0,1507,80.0,UA,580,N560UA,JFK,SFO,337.0,2586
328588,2013,9,22,1000.0,morning,-5.0,1145.0,1214,-29.0,DL,2319,N909DE,LGA,MSP,146.0,1020
113911,2013,2,4,834.0,morning,-6.0,1137.0,1204,-27.0,UA,112,N12109,JFK,LAX,336.0,2475
47681,2013,10,23,821.0,morning,-4.0,1114.0,1115,-1.0,B6,281,N329JB,JFK,HOU,214.0,1428
117741,2013,2,8,1300.0,afternoon,5.0,1617.0,1605,12.0,UA,1612,N17730,EWR,DFW,204.0,1372
132786,2013,2,25,1123.0,morning,1.0,1437.0,1420,17.0,UA,1143,N37267,EWR,PBI,173.0,1023
176943,2013,4,13,1302.0,afternoon,3.0,1602.0,1557,5.0,UA,815,N463UA,LGA,IAH,209.0,1416
327152,2013,9,20,1339.0,afternoon,9.0,1610.0,1612,-2.0,B6,927,N775JB,EWR,MCO,116.0,937
220795,2013,5,30,1514.0,afternoon,4.0,1814.0,1825,-11.0,UA,1243,N34455,EWR,SFO,340.0,2565
235295,2013,6,14,2221.0,evening,176.0,58.0,2243,135.0,DL,2139,N989DL,LGA,MIA,129.0,1096
302179,2013,8,24,909.0,morning,9.0,1209.0,1206,3.0,B6,5,N607JB,EWR,FLL,146.0,1065
277769,2013,7,29,2048.0,evening,81.0,2336.0,2245,51.0,UA,331,N847UA,EWR,PDX,328.0,2434
24403,2013,1,29,735.0,morning,-5.0,1004.0,1045,-41.0,UA,1179,N37277,EWR,TPA,138.0,997
255125,2013,7,6,927.0,morning,-3.0,1033.0,1039,-6.0,B6,116,N346JB,JFK,SYR,43.0,209
156332,2013,3,22,1337.0,morning,112.0,1643.0,1451,112.0,DL,1174,N338NW,LGA,PBI,144.0,1035
42464,2013,10,17,1424.0,afternoon,-4.0,1703.0,1654,9.0,B6,477,N229JB,JFK,JAX,124.0,828
281028,2013,8,2,756.0,morning,-4.0,1051.0,1104,-13.0,DL,2190,N335NW,JFK,MIA,146.0,1089
162638,2013,3,29,834.0,morning,24.0,1143.0,1131,12.0,DL,2143,N910DE,JFK,MIA,148.0,1089
176688,2013,4,13,729.0,morning,-1.0,1141.0,1131,10.0,B6,215,N537JB,EWR,SJU,234.0,1608
203135,2013,5,11,1122.0,morning,12.0,1359.0,1355,4.0,DL,695,N328NW,JFK,MCO,135.0,944
282470,2013,8,3,1715.0,afternoon,0.0,2057.0,2040,17.0,UA,387,N505UA,JFK,SFO,350.0,2586
330791,2013,9,24,1449.0,afternoon,-10.0,1734.0,1734,0.0,DL,2347,N951DL,LGA,ATL,110.0,762
74543,2013,11,21,725.0,morning,-5.0,1202.0,1220,-18.0,B6,1289,N534JB,EWR,SJU,195.0,1608
84637,2013,12,2,1349.0,afternoon,-11.0,1625.0,1646,-21.0,B6,927,N594JB,EWR,MCO,137.0,937
109740,2013,12,30,825.0,morning,5.0,1118.0,1116,2.0,B6,1783,N632JB,JFK,MCO,147.0,944
128279,2013,2,20,1102.0,morning,17.0,1341.0,1331,10.0,B6,545,N715JB,EWR,PBI,141.0,1023
91666,2013,12,10,742.0,morning,-3.0,1044.0,1015,29.0,DL,807,N979AT,EWR,ATL,124.0,746
243506,2013,6,23,1804.0,afternoon,59.0,2022.0,1849,93.0,UA,1061,N73259,LGA,ORD,109.0,733
226469,2013,6,5,1636.0,afternoon,4.0,1925.0,1956,-31.0,B6,675,N652JB,JFK,LAX,320.0,2475
8587,2013,1,10,1724.0,afternoon,-5.0,2029.0,2046,-17.0,DL,1185,N3740C,EWR,SLC,281.0,1969
192968,2013,4,30,1449.0,afternoon,84.0,1718.0,1626,52.0,UA,1054,N19141,EWR,LAX,305.0,2454
297838,2013,8,19,1845.0,evening,45.0,2123.0,2039,44.0,DL,61,N651DL,LGA,ATL,136.0,762
205660,2013,5,14,829.0,morning,-6.0,1112.0,1122,-10.0,UA,1436,N76505,EWR,MCO,122.0,937
67921,2013,11,14,555.0,morning,-5.0,741.0,756,-15.0,DL,1517,N347NB,EWR,DTW,82.0,488
125838,2013,2,17,1757.0,evening,-3.0,2107.0,2118,-11.0,UA,1574,N54711,EWR,FLL,148.0,1065
152051,2013,3,18,610.0,morning,0.0,842.0,855,-13.0,UA,511,N548UA,EWR,LAS,311.0,2227
35587,2013,10,10,727.0,morning,-3.0,1124.0,1124,0.0,B6,1289,N662JB,EWR,SJU,211.0,1608
322123,2013,9,15,1100.0,morning,-5.0,1357.0,1420,-23.0,DL,2098,N351NW,LGA,MIA,149.0,1096
113505,2013,2,3,1757.0,evening,-7.0,2045.0,2110,-25.0,UA,709,N456UA,EWR,DFW,200.0,1372
203286,2013,5,11,1456.0,afternoon,-4.0,1732.0,1732,0.0,DL,2347,N674DL,LGA,ATL,133.0,762
108560,2013,12,28,1936.0,evening,14.0,5.0,18,-13.0,DL,448,N37700,JFK,SJU,179.0,1598
218256,2013,5,27,2148.0,evening,-7.0,2341.0,23,-42.0,UA,1548,N68453,EWR,MSY,152.0,1167
65203,2013,11,11,855.0,morning,-10.0,1001.0,1024,-23.0,B6,208,N309JB,JFK,PWM,49.0,273
14308,2013,1,17,1039.0,morning,0.0,1337.0,1330,7.0,B6,31,N556JB,JFK,MCO,148.0,944
327654,2013,9,20,2244.0,evening,-1.0,2354.0,2353,1.0,B6,234,N229JB,JFK,BTV,46.0,266
214117,2013,5,23,818.0,morning,-2.0,1118.0,1110,8.0,DL,1959,N942DL,JFK,MCO,131.0,944
276498,2013,7,28,1549.0,afternoon,7.0,1836.0,1755,41.0,UA,1107,N81449,EWR,DEN,234.0,1605
59369,2013,11,4,2015.0,evening,-7.0,2146.0,2200,-14.0,UA,1464,N78511,EWR,CLE,65.0,404
134353,2013,2,27,554.0,morning,-6.0,733.0,759,-26.0,DL,731,N353NW,LGA,DTW,78.0,502
214424,2013,5,23,1559.0,afternoon,89.0,1856.0,1601,175.0,UA,1608,N37252,EWR,ORD,107.0,719
280712,2013,8,1,2055.0,evening,55.0,2214.0,2129,45.0,B6,418,N193JB,JFK,BOS,41.0,187
76732,2013,11,23,1152.0,morning,-3.0,1439.0,1425,14.0,UA,406,N836UA,EWR,DEN,246.0,1605
253643,2013,7,4,1130.0,morning,-5.0,1315.0,1339,-24.0,DL,2219,N331NW,LGA,MSP,134.0,1020
164748,2013,3,31,1628.0,afternoon,58.0,2004.0,1922,42.0,DL,1565,N705TW,JFK,SFO,365.0,2586
62803,2013,11,8,1250.0,afternoon,1.0,1607.0,1610,-3.0,UA,394,N580UA,EWR,SFO,358.0,2565
53414,2013,10,29,1153.0,afternoon,-7.0,1453.0,1444,9.0,B6,1711,N571JB,JFK,LAS,340.0,2248
46810,2013,10,22,947.0,morning,-4.0,1203.0,1207,-4.0,UA,256,N472UA,EWR,DEN,223.0,1605
204014,2013,5,12,1429.0,afternoon,14.0,1637.0,1619,18.0,B6,1275,N328JB,JFK,CHS,103.0,636
222857,2013,6,1,1847.0,evening,-2.0,2126.0,2140,-14.0,UA,395,N579UA,EWR,IAH,190.0,1400
330059,2013,9,23,1822.0,evening,2.0,2106.0,2124,-18.0,B6,1013,N634JB,JFK,LGB,323.0,2465
285264,2013,8,6,1632.0,afternoon,-3.0,1917.0,1938,-21.0,B6,89,N594JB,JFK,SAN,316.0,2446
333999,2013,9,27,1827.0,evening,-3.0,2049.0,2122,-33.0,B6,153,N715JB,JFK,PBI,121.0,1028
242123,2013,6,22,739.0,morning,-6.0,939.0,1000,-21.0,DL,807,N355NB,EWR,ATL,99.0,746
1173,2013,1,2,1111.0,morning,12.0,1437.0,1420,17.0,DL,2071,N370NW,LGA,MIA,167.0,1096
27007,2013,10,1,539.0,morning,-6.0,801.0,827,-26.0,UA,1714,N37252,LGA,IAH,172.0,1416
114050,2013,2,4,1121.0,morning,7.0,1343.0,1345,-2.0,UA,1403,N33203,LGA,DEN,243.0,1620
249276,2013,6,29,1702.0,afternoon,2.0,1951.0,1937,14.0,DL,1499,N999DN,LGA,ATL,118.0,762
110438,2013,12,30,2042.0,evening,2.0,2353.0,2359,-6.0,B6,523,N784JB,JFK,LAX,344.0,2475
215369,2013,5,24,1402.0,afternoon,3.0,1707.0,1714,-7.0,UA,1570,N79521,EWR,SFO,344.0,2565
160299,2013,3,26,1848.0,evening,-7.0,2136.0,2206,-30.0,DL,2391,N914DE,JFK,TPA,144.0,1005
140098,2013,3,5,907.0,morning,7.0,1118.0,1116,2.0,DL,181,N391DA,LGA,DTW,92.0,502
155556,2013,3,21,1658.0,afternoon,-2.0,2101.0,2110,-9.0,DL,329,N3758Y,JFK,SJU,198.0,1598
56087,2013,11,1,827.0,morning,-3.0,1132.0,1122,10.0,UA,443,N502UA,JFK,LAX,330.0,2475
321433,2013,9,14,1053.0,morning,-7.0,1159.0,1222,-23.0,UA,1595,N14704,EWR,ORD,107.0,719
159092,2013,3,25,1611.0,afternoon,-3.0,1733.0,1749,-16.0,UA,1492,N24702,EWR,ORD,112.0,719
253141,2013,7,3,1852.0,evening,22.0,2147.0,2140,7.0,B6,305,N636JB,EWR,FLL,140.0,1065
45767,2013,10,21,842.0,morning,-3.0,1126.0,1134,-8.0,UA,226,N577UA,EWR,SAN,313.0,2425
59437,2013,11,4,2246.0,evening,-9.0,2346.0,2356,-10.0,B6,718,N353JB,JFK,BOS,33.0,187
274782,2013,7,26,1634.0,afternoon,-1.0,1912.0,1938,-26.0,B6,89,N527JB,JFK,SAN,319.0,2446
124478,2013,2,16,549.0,morning,-11.0,949.0,901,48.0,B6,371,N534JB,LGA,FLL,195.0,1076
128268,2013,2,20,1054.0,morning,-5.0,1311.0,1337,-26.0,DL,1647,N603DL,LGA,ATL,112.0,762
334191,2013,9,28,544.0,morning,-1.0,759.0,828,-29.0,UA,1714,N24706,LGA,IAH,171.0,1416
130980,2013,2,23,839.0,morning,12.0,1313.0,1316,-3.0,B6,403,N524JB,JFK,SJU,185.0,1598
2399,2013,1,3,1657.0,afternoon,-3.0,1952.0,2014,-22.0,B6,15,N192JB,JFK,FLL,163.0,1069
227643,2013,6,6,1944.0,evening,59.0,2216.0,2205,11.0,UA,1152,N35407,EWR,PDX,310.0,2434
227986,2013,6,7,856.0,morning,-10.0,1216.0,1239,-23.0,B6,641,N613JB,JFK,SFO,328.0,2586
174635,2013,4,11,557.0,morning,-3.0,856.0,903,-7.0,UA,987,N844UA,EWR,LAX,337.0,2454
248915,2013,6,29,908.0,morning,43.0,1234.0,1144,50.0,UA,397,N502UA,JFK,SFO,323.0,2586
110613,2013,12,31,723.0,morning,3.0,958.0,1029,-31.0,UA,404,N447UA,LGA,IAH,198.0,1416
83024,2013,11,30,1911.0,evening,6.0,2054.0,2106,-12.0,DL,1473,N317NB,LGA,MEM,144.0,963
102187,2013,12,21,1403.0,afternoon,33.0,1652.0,1633,19.0,UA,1420,N68801,EWR,MIA,155.0,1085
239060,2013,6,19,558.0,morning,-2.0,859.0,905,-6.0,UA,684,N838UA,EWR,LAX,324.0,2454
78690,2013,11,25,1628.0,afternoon,-1.0,1858.0,1926,-28.0,B6,283,N597JB,JFK,MCO,132.0,944
152174,2013,3,18,806.0,morning,-4.0,1127.0,1124,3.0,DL,2070,N336NB,LGA,RSW,165.0,1080
324127,2013,9,17,1150.0,afternoon,-10.0,1453.0,1454,-1.0,DL,863,N709TW,JFK,LAX,322.0,2475
299774,2013,8,21,1757.0,afternoon,-2.0,2054.0,2020,34.0,UA,509,N424UA,LGA,DEN,234.0,1620
254022,2013,7,4,2003.0,evening,123.0,2251.0,2102,109.0,B6,359,N595JB,JFK,BUR,313.0,2465
219515,2013,5,29,929.0,morning,-1.0,1030.0,1042,-12.0,B6,42,N281JB,JFK,SYR,42.0,209
169119,2013,4,5,706.0,morning,11.0,919.0,912,7.0,B6,117,N229JB,JFK,MSY,166.0,1182
240286,2013,6,20,925.0,morning,-10.0,1221.0,1237,-16.0,B6,271,N561JB,LGA,FLL,157.0,1076
156713,2013,3,22,1931.0,evening,2.0,2225.0,2247,-22.0,DL,1433,N366NB,LGA,RSW,152.0,1080
181811,2013,4,18,1556.0,afternoon,-3.0,1813.0,1837,-24.0,DL,847,N687DL,LGA,ATL,108.0,762
150453,2013,3,16,825.0,morning,-4.0,1102.0,1134,-32.0,UA,722,N462UA,EWR,MCO,137.0,937
40118,2013,10,15,708.0,morning,-12.0,952.0,1000,-8.0,UA,261,N533UA,LGA,IAH,189.0,1416
226653,2013,6,5,1923.0,evening,-7.0,2040.0,2117,-37.0,DL,975,N330NB,LGA,PIT,59.0,335
66672,2013,11,12,1730.0,afternoon,0.0,1926.0,1914,12.0,B6,1185,N329JB,JFK,RDU,87.0,427
301769,2013,8,23,1816.0,afternoon,28.0,2139.0,2125,14.0,UA,1141,N37456,EWR,SFO,330.0,2565
159267,2013,3,25,1914.0,evening,4.0,2224.0,2231,-7.0,DL,83,N3769L,JFK,FLL,160.0,1069
275707,2013,7,27,1656.0,afternoon,-4.0,1921.0,1937,-16.0,DL,1499,N974DL,LGA,ATL,113.0,762
332362,2013,9,26,802.0,morning,-8.0,1007.0,1023,-16.0,DL,2457,N338NB,LGA,MSY,154.0,1183
161067,2013,3,27,1544.0,afternoon,-1.0,1803.0,1824,-21.0,DL,95,N37700,JFK,ATL,110.0,760
23986,2013,1,28,1726.0,afternoon,-1.0,2037.0,2049,-12.0,UA,1593,N73278,EWR,PDX,348.0,2434
265363,2013,7,16,2140.0,evening,39.0,128.0,100,28.0,B6,1103,N638JB,JFK,SJU,193.0,1598
330954,2013,9,24,1659.0,afternoon,-1.0,1948.0,2008,-20.0,DL,1394,N3756,JFK,PDX,320.0,2454
19540,2013,1,23,1337.0,afternoon,-4.0,1938.0,1935,3.0,UA,15,N76064,EWR,HNL,639.0,4963
81648,2013,11,29,556.0,morning,-4.0,812.0,825,-13.0,DL,1377,N390DA,LGA,ATL,111.0,762
45152,2013,10,20,1524.0,afternoon,4.0,1821.0,1818,3.0,UA,1600,N19141,EWR,LAX,330.0,2454
124244,2013,2,15,1755.0,afternoon,-4.0,2034.0,2042,-8.0,DL,1047,N661DN,LGA,ATL,126.0,762
29728,2013,10,3,1821.0,afternoon,22.0,2032.0,2000,32.0,DL,1321,N369NW,EWR,MSP,162.0,1008
89650,2013,12,7,1934.0,evening,4.0,2304.0,2253,11.0,DL,414,N383DN,JFK,SLC,309.0,1990
292928,2013,8,14,1537.0,afternoon,-3.0,1904.0,1858,6.0,UA,257,N557UA,JFK,SFO,339.0,2586
306679,2013,8,29,706.0,morning,-4.0,923.0,957,-34.0,UA,478,N403UA,EWR,MCO,119.0,937
163649,2013,3,30,956.0,morning,-5.0,1212.0,1232,-20.0,DL,2006,N320US,LGA,MSY,159.0,1183
286543,2013,8,7,2104.0,evening,10.0,2344.0,2354,-10.0,UA,1682,N38451,EWR,FLL,141.0,1065
137033,2013,3,1,1911.0,evening,1.0,2201.0,2228,-27.0,B6,87,N703JB,JFK,SLC,263.0,1990
315772,2013,9,8,1330.0,afternoon,0.0,1549.0,1612,-23.0,B6,927,N607JB,EWR,MCO,121.0,937
277755,2013,7,29,2022.0,evening,-3.0,2322.0,2324,-2.0,UA,771,N525UA,JFK,LAX,323.0,2475
307045,2013,8,29,1342.0,afternoon,27.0,1615.0,1558,17.0,B6,553,N504JB,JFK,PBI,133.0,1028
195253,2013,5,2,1958.0,evening,27.0,2239.0,2305,-26.0,B6,171,N507JB,JFK,SMF,316.0,2521
232649,2013,6,12,928.0,morning,-1.0,1234.0,1241,-7.0,B6,679,N775JB,JFK,LAX,322.0,2475
130308,2013,2,22,1350.0,afternoon,-5.0,1637.0,1634,3.0,DL,1705,N343NW,LGA,MSY,193.0,1183
281130,2013,8,2,927.0,morning,34.0,1311.0,1212,59.0,B6,15,N760JB,JFK,SFO,347.0,2586
334500,2013,9,28,1222.0,afternoon,1.0,1337.0,1328,9.0,B6,34,N309JB,JFK,BTV,49.0,266
234385,2013,6,14,600.0,morning,0.0,805.0,824,-19.0,DL,461,N638DL,LGA,ATL,99.0,762
36314,2013,10,10,1959.0,evening,58.0,2100.0,2040,20.0,UA,693,N497UA,LGA,ORD,101.0,733
202578,2013,5,10,1726.0,afternoon,-4.0,2113.0,2119,-6.0,DL,31,N722TW,JFK,SFO,333.0,2586
25410,2013,1,30,946.0,morning,-4.0,1045.0,1104,-19.0,B6,600,N228JB,JFK,PWM,46.0,273
257329,2013,7,8,1751.0,afternoon,22.0,2159.0,2041,78.0,UA,1266,N37413,EWR,LAX,312.0,2454
277950,2013,7,30,643.0,morning,-2.0,839.0,845,-6.0,B6,675,N231JB,JFK,MSY,155.0,1182
328886,2013,9,22,1537.0,afternoon,-3.0,1944.0,1901,43.0,DL,2280,N915DL,JFK,FLL,153.0,1069
21507,2013,1,25,1558.0,afternoon,3.0,1754.0,1749,5.0,B6,917,N294JB,JFK,ORD,131.0,740
214538,2013,5,23,1859.0,evening,-1.0,2251.0,2159,52.0,DL,2159,N385DN,JFK,MCO,132.0,944
11414,2013,1,14,750.0,morning,-2.0,1107.0,1058,9.0,UA,451,N561UA,EWR,IAH,229.0,1400
324107,2013,9,17,1115.0,morning,0.0,1414.0,1420,-6.0,DL,1875,N364NB,LGA,TPA,136.0,1010
